OCC_CODE,Commodity Title,Example
13-1031,Office suite software,Microsoft Office software
13-1031,Presentation software,Microsoft PowerPoint
13-1031,Spreadsheet software,Microsoft Excel
13-1031,Video conferencing software,Zoom
13-1031,Word processing software,Microsoft Word
13-1032,Compiler and decompiler software,Disassembler software
13-1032,Document management software,Adobe Acrobat
13-1032,Electronic mail software,Microsoft Outlook
13-1032,Office suite software,Microsoft Office software
13-1032,Operating system software,Microsoft Windows
13-1032,Presentation software,Microsoft PowerPoint
13-1032,Spreadsheet software,Microsoft Excel
13-1032,Word processing software,Microsoft Word
13-1041,Cloud-based data access and sharing software,Microsoft SharePoint
13-1041,Computer aided design CAD software,Bentley MicroStation
13-1041,Customer relationship management CRM software,Salesforce software
13-1041,Data base reporting software,Microsoft SQL Server Reporting Services SSRS
13-1041,Data base user interface and query software,Yardi software
13-1041,Desktop publishing software,Adobe InDesign
13-1041,Development environment software,Microsoft Visual Basic
13-1041,Document management software,Adobe Acrobat
13-1041,Electronic mail software,Microsoft Outlook
13-1041,Enterprise resource planning ERP software,SAP software
13-1041,File versioning software,Git
13-1041,Geographic information system,Geographic information system GIS systems
13-1041,Graphics or photo imaging software,Adobe Photoshop
13-1041,Office suite software,Microsoft Office software
13-1041,Operating system software,UNIX
13-1041,Presentation software,Microsoft PowerPoint
13-1041,Process mapping and design software,Microsoft Visio
13-1041,Project management software,Microsoft Project
13-1041,Spreadsheet software,Microsoft Excel
13-1041,Video conferencing software,Zoom
13-1041,Word processing software,Microsoft Word
13-1051,Accounting software,Intuit QuickBooks
13-1051,Analytical or scientific software,Procore software
13-1051,Computer aided design CAD software,Autodesk Revit
13-1051,Data base user interface and query software,Microsoft Access
13-1051,Document management software,Adobe Acrobat
13-1051,Electronic mail software,Microsoft Outlook
13-1051,Enterprise resource planning ERP software,SAP software
13-1051,Graphics or photo imaging software,Trimble SketchUp Pro
13-1051,Office suite software,Microsoft Office software
13-1051,Presentation software,Microsoft PowerPoint
13-1051,Process mapping and design software,Microsoft Visio
13-1051,Project management software,Oracle Primavera Enterprise Project Portfolio Management
13-1051,Spreadsheet software,Microsoft Excel
13-1051,Word processing software,Microsoft Word
13-1071,Accounting software,Intuit QuickBooks
13-1071,Analytical or scientific software,SAS
13-1071,Application server software,GitHub
13-1071,Business intelligence and data analysis software,Tableau
13-1071,Cloud-based data access and sharing software,Slack
13-1071,Customer relationship management CRM software,Salesforce software
13-1071,Data base management system software,Teradata Database
13-1071,Data base reporting software,Microsoft SQL Server Reporting Services SSRS
13-1071,Data base user interface and query software,Oracle Database
13-1071,Data mining software,Google Analytics
13-1071,Desktop publishing software,Adobe InDesign
13-1071,Development environment software,Microsoft Visual Basic for Applications VBA
13-1071,Document management software,Adobe Acrobat
13-1071,Electronic mail software,Microsoft Outlook
13-1071,Enterprise application integration software,Extensible markup language XML
13-1071,Enterprise resource planning ERP software,Workday software
13-1071,Geographic information system,ESRI ArcGIS software
13-1071,Graphics or photo imaging software,Adobe Photoshop
13-1071,Human resources software,Oracle HRIS
13-1071,Medical software,MEDITECH software
13-1071,Office suite software,Microsoft Office software
13-1071,Operating system software,Microsoft Windows
13-1071,Presentation software,Microsoft PowerPoint
13-1071,Process mapping and design software,Microsoft Visio
13-1071,Project management software,Oracle Primavera Enterprise Project Portfolio Management
13-1071,Sales and marketing software,Marketo Marketing Automation
13-1071,Spreadsheet software,Microsoft Excel
13-1071,Time accounting software,Kronos Workforce Timekeeper
13-1071,Video conferencing software,Zoom
13-1071,Web page creation and editing software,Facebook
13-1071,Web platform development software,Hypertext markup language HTML
13-1071,Word processing software,Microsoft Word
13-1074,Accounting software,Intuit QuickBooks
13-1074,Cloud-based data access and sharing software,Microsoft SharePoint
13-1074,Data base user interface and query software,Microsoft Access
13-1074,Electronic mail software,Microsoft Outlook
13-1074,Enterprise resource planning ERP software,SAP software
13-1074,Office suite software,Microsoft Office software
13-1074,Spreadsheet software,Microsoft Excel
13-1074,Web page creation and editing software,Facebook
13-1074,Word processing software,Microsoft Word
13-1075,Application server software,Kubernetes
13-1075,Cloud-based data access and sharing software,Microsoft SharePoint
13-1075,Data base user interface and query software,Microsoft Access
13-1075,Electronic mail software,Microsoft Outlook
13-1075,Enterprise resource planning ERP software,Oracle PeopleSoft
13-1075,Human resources software,Oracle HRIS
13-1075,Office suite software,Microsoft Office software
13-1075,Presentation software,Microsoft PowerPoint
13-1075,Spreadsheet software,Microsoft Excel
13-1075,Word processing software,Microsoft Word
13-1081,Accounting software,Intuit QuickBooks
13-1081,Analytical or scientific software,The MathWorks MATLAB
13-1081,Business intelligence and data analysis software,Tableau
13-1081,Cloud-based data access and sharing software,Microsoft SharePoint
13-1081,Computer aided design CAD software,Autodesk AutoCAD
13-1081,Data base management system software,Microsoft SQL Server
13-1081,Data base user interface and query software,Structured query language SQL
13-1081,Development environment software,Microsoft Visual Basic for Applications VBA
13-1081,Electronic mail software,Microsoft Outlook
13-1081,Enterprise resource planning ERP software,SAP software
13-1081,Object or component oriented development software,Python
13-1081,Office suite software,Microsoft Office software
13-1081,Operating system software,Microsoft Windows
13-1081,Presentation software,Microsoft PowerPoint
13-1081,Process mapping and design software,Microsoft Visio
13-1081,Project management software,Oracle Primavera Enterprise Project Portfolio Management
13-1081,Spreadsheet software,Microsoft Excel
13-1081,Word processing software,Microsoft Word
13-1082,Accounting software,Intuit QuickBooks
13-1082,Analytical or scientific software,SAS
13-1082,Application server software,GitHub
13-1082,Business intelligence and data analysis software,Tableau
13-1082,Cloud-based data access and sharing software,Slack
13-1082,Computer aided design CAD software,Bentley MicroStation
13-1082,Content workflow software,Atlassian JIRA
13-1082,Customer relationship management CRM software,Salesforce software
13-1082,Data base user interface and query software,Oracle Database
13-1082,Desktop publishing software,Adobe InDesign
13-1082,Development environment software,Microsoft Visual Basic for Applications VBA
13-1082,Document management software,Adobe Acrobat
13-1082,Electronic mail software,Microsoft Outlook
13-1082,Enterprise application integration software,Atlassian Bamboo
13-1082,Enterprise resource planning ERP software,SAP software
13-1082,File versioning software,Git
13-1082,Graphics or photo imaging software,Trimble SketchUp Pro
13-1082,Office suite software,Microsoft Office software
13-1082,Operating system software,Microsoft Windows
13-1082,Presentation software,Microsoft PowerPoint
13-1082,Process mapping and design software,Microsoft Visio
13-1082,Project management software,Project management software
13-1082,Sales and marketing software,Marketo Marketing Automation
13-1082,Spreadsheet software,Microsoft Excel
13-1082,Video conferencing software,Zoom
13-1082,Word processing software,Microsoft Word
13-1111,Analytical or scientific software,The MathWorks MATLAB
13-1111,Application server software,GitHub
13-1111,Business intelligence and data analysis software,Tableau
13-1111,Cloud-based data access and sharing software,Microsoft SharePoint
13-1111,Cloud-based management software,Splunk Enterprise
13-1111,Configuration management software,Puppet
13-1111,Content workflow software,Atlassian JIRA
13-1111,Customer relationship management CRM software,Salesforce software
13-1111,Data base management system software,Teradata Database
13-1111,Data base reporting software,Microsoft SQL Server Reporting Services SSRS
13-1111,Data base user interface and query software,Transact-SQL
13-1111,Data mining software,Google Analytics
13-1111,Desktop publishing software,Adobe InDesign
